CourseId,Type,Identifier,Topic Name,Topic Link,Entity Type
40355,Lecture,2,2.0,No link available,CARDINAL
40355,Lecture,2,Task 1,No link available,PRODUCT
40355,Lecture,2,8.15,No link available,CARDINAL
40355,Lecture,2,Text Mining,No link available,ORG
40355,Lecture,2,Requirements,No link available,WORK_OF_ART
40355,Lecture,2,• Document,No link available,PRODUCT
40355,Lecture,2,XML,No link available,ORG
40355,Lecture,2,PDF,No link available,ORG
40355,Lecture,2,• Annotation,No link available,ORG
40355,Lecture,2,• Component,No link available,ORG
40355,Lecture,2,Tokenizers,No link available,PRODUCT
40355,Lecture,2,Splitters,No link available,NORP
40355,Lecture,2,Finite-State Transducers,No link available,ORG
40355,Lecture,2,Classifiers,No link available,ORG
40355,Lecture,2,Lemmatizers,No link available,PERSON
40355,Lecture,2,Coreference Resolution Engines,No link available,ORG
40355,Lecture,2,Summarizers,No link available,NORP
40355,Lecture,2,Deep Learning Models,No link available,WORK_OF_ART
40355,Lecture,2,"• Machine Learning Algorithms
• Evaluation Metrics",No link available,ORG
40355,Lecture,2,8.16,No link available,CARDINAL
40355,Lecture,2,NLP Tools,No link available,ORG
40355,Lecture,2,NP,No link available,ORG
40355,Lecture,2,NLP Libraries,No link available,ORG
40355,Lecture,2,Frameworks,No link available,PERSON
40355,Lecture,2,ML,No link available,ORG
40355,Lecture,2,Cloud Computing Platforms,No link available,WORK_OF_ART
40355,Lecture,2,8.17,No link available,CARDINAL
40355,Lecture,2,NLP Development,No link available,ORG
40355,Lecture,2,1995,No link available,DATE
40355,Lecture,2,University of Sheffield,No link available,ORG
40355,Lecture,2,UK,No link available,GPE
40355,Lecture,2,IBM,No link available,ORG
40355,Lecture,2,2007,No link available,DATE
40355,Lecture,2,Apache,No link available,PRODUCT
40355,Lecture,2,LGPL,No link available,PERSON
40355,Lecture,2,UIMA,No link available,ORG
40355,Lecture,2,NLTK,No link available,PERSON
40355,Lecture,2,Stanford,No link available,ORG
40355,Lecture,2,Deep Learning,No link available,ORG
40355,Lecture,2,TensorFlow,No link available,ORG
40355,Lecture,2,PyTorch,No link available,ORG
40355,Lecture,2,BERT,No link available,ORG
40355,Lecture,2,HuggingFace,No link available,ORG
40355,Lecture,2,8.18,No link available,CARDINAL
